Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	ACTIVE LOG	5/20/2006 1:34:55 PM 	01:56:53	4.80 mi	2.5 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N42 48.772 W70 46.826	5/20/2006 2:01:12 PM 	10 ft		105 ft	00:00:15	4.8 mph	248° true
Trackpoint	N42 48.773 W70 46.846	5/20/2006 2:01:27 PM 	10 ft		92 ft	00:00:15	4.2 mph	275° true
Trackpoint	N42 48.778 W70 46.867	5/20/2006 2:01:42 PM 	7 ft		97 ft	00:00:15	4.4 mph	289° true
Trackpoint	N42 48.786 W70 46.886	5/20/2006 2:01:57 PM 	10 ft		98 ft	00:00:15	4.5 mph	299° true
Trackpoint	N42 48.791 W70 46.907	5/20/2006 2:02:12 PM 	11 ft		97 ft	00:00:15	4.4 mph	289° true
Trackpoint	N42 48.792 W70 46.929	5/20/2006 2:02:27 PM 	10 ft		98 ft	00:00:15	4.5 mph	275° true
Trackpoint	N42 48.790 W70 46.951	5/20/2006 2:02:42 PM 	13 ft		99 ft	00:00:15	4.5 mph	261° true
Trackpoint	N42 48.785 W70 46.972	5/20/2006 2:02:57 PM 	16 ft		103 ft	00:00:15	4.7 mph	252° true
Trackpoint	N42 48.777 W70 46.993	5/20/2006 2:03:12 PM 	15 ft		103 ft	00:00:15	4.7 mph	243° true
Trackpoint	N42 48.768 W70 47.015	5/20/2006 2:03:27 PM 	15 ft		112 ft	00:00:15	5.1 mph	241° true
Trackpoint	N42 48.763 W70 47.036	5/20/2006 2:03:42 PM 	15 ft		97 ft	00:00:15	4.4 mph	251° true
Trackpoint	N42 48.761 W70 47.059	5/20/2006 2:03:57 PM 	11 ft		104 ft	00:00:15	4.7 mph	266° true
Trackpoint	N42 48.764 W70 47.081	5/20/2006 2:04:12 PM 	8 ft		99 ft	00:00:15	4.5 mph	279° true
Trackpoint	N42 48.772 W70 47.100	5/20/2006 2:04:27 PM 	10 ft		98 ft	00:00:15	4.5 mph	299° true
Trackpoint	N42 48.778 W70 47.120	5/20/2006 2:04:42 PM 	11 ft		100 ft	00:00:15	4.5 mph	293° true
Trackpoint	N42 48.786 W70 47.141	5/20/2006 2:04:57 PM 	10 ft		103 ft	00:00:15	4.7 mph	297° true
Trackpoint	N42 48.792 W70 47.160	5/20/2006 2:05:12 PM 	8 ft		95 ft	00:00:15	4.3 mph	294° true
Trackpoint	N42 48.799 W70 47.181	5/20/2006 2:05:27 PM 	8 ft		100 ft	00:00:15	4.5 mph	293° true
Trackpoint	N42 48.805 W70 47.202	5/20/2006 2:05:42 PM 	8 ft		100 ft	00:00:15	4.5 mph	293° true
Trackpoint	N42 48.813 W70 47.221	5/20/2006 2:05:57 PM 	7 ft		98 ft	00:00:15	4.5 mph	299° true
Trackpoint	N42 48.818 W70 47.243	5/20/2006 2:06:12 PM 	7 ft		103 ft	00:00:15	4.7 mph	288° true
Trackpoint	N42 48.823 W70 47.265	5/20/2006 2:06:27 PM 	8 ft		103 ft	00:00:15	4.7 mph	288° true
Trackpoint	N42 48.830 W70 47.287	5/20/2006 2:06:42 PM 	8 ft		105 ft	00:00:15	4.8 mph	292° true
Trackpoint	N42 48.836 W70 47.307	5/20/2006 2:06:57 PM 	7 ft		100 ft	00:00:15	4.5 mph	293° true
Trackpoint	N42 48.844 W70 47.329	5/20/2006 2:07:12 PM 	7 ft		108 ft	00:00:15	4.9 mph	296° true
Trackpoint	N42 48.850 W70 47.350	5/20/2006 2:07:27 PM 	2 ft		100 ft	00:00:15	4.5 mph	293° true
Trackpoint	N42 48.857 W70 47.370	5/20/2006 2:07:42 PM 	5 ft		100 ft	00:00:15	4.5 mph	293° true
Trackpoint	N42 48.861 W70 47.392	5/20/2006 2:07:57 PM 	4 ft		101 ft	00:00:15	4.6 mph	284° true
Trackpoint	N42 48.864 W70 47.414	5/20/2006 2:08:12 PM 	5 ft		101 ft	00:00:15	4.6 mph	284° true
Trackpoint	N42 48.866 W70 47.435	5/20/2006 2:08:27 PM 	2 ft		92 ft	00:00:15	4.2 mph	275° true
Trackpoint	N42 48.872 W70 47.454	5/20/2006 2:08:42 PM 	4 ft		95 ft	00:00:15	4.3 mph	294° true
Trackpoint	N42 48.885 W70 47.468	5/20/2006 2:08:57 PM 	5 ft		101 ft	00:00:15	4.6 mph	321° true
Trackpoint	N42 48.895 W70 47.481	5/20/2006 2:09:12 PM 	5 ft		85 ft	00:00:15	3.9 mph	317° true
Trackpoint	N42 48.900 W70 47.486	5/20/2006 2:09:27 PM 	4 ft		39 ft	00:00:15	1.8 mph	324° true
Trackpoint	N42 48.906 W70 47.486	5/20/2006 2:09:42 PM 	7 ft		31 ft	00:00:15	1.4 mph	0° true
Trackpoint	N42 48.916 W70 47.487	5/20/2006 2:09:57 PM 	4 ft		63 ft	00:00:15	2.9 mph	355° true
